text,label,text_length
oh k.k..where did you take test?,0,32
great! i shoot big loads so get ready!,0,38
can't take any major roles in community outreach. you rock mel,0,62
wait &lt;#&gt; min..,0,20
u know we watchin at lido?,0,26
yes just finished watching days of our lives. i love it.,0,56
and he's apparently bffs with carly quick now,0,45
ur cash-balance is currently 500 pounds - to maximize ur cash-in now send go to 86688 only 150p/msg. cc: 08718720201 po box 114/14 tcr/w1,1,137
"i hav almost reached. call, i m unable to connect u.",0,52
"k i'm leaving soon, be there a little after 9",0,45
no. thank you. you've been wonderful,0,36
"hurry up, i've been weed-deficient for like three days",0,54
yes baby! i need to stretch open your pussy!,0,44
oh. u must have taken your real valentine out shopping first.,0,61
aight ill get on fb in a couple minutes,0,39
"that's cool he'll be here all night, lemme know when you're around",0,66
get ready to moan and scream :),0,31
"i can make it up there, squeezed &lt;#&gt; bucks out of my dad",0,62
"she said,'' do u mind if i go into the bedroom for a minute ? '' ''ok'', i sed in a sexy mood. she came out 5 minuts latr wid a cake...n my wife,",0,145
my superior telling that friday is leave for all other department except ours:)so it will be leave for you:)any way call waheed fathima hr and conform it:),0,155
babe ? i lost you ... will you try rebooting ?,0,46
"""response"" is one of d powerful weapon 2 occupy a place in others 'heart'... so, always give response 2 who cares 4 u""... gud night..swt dreams..take care",0,154
oi. ami parchi na re. kicchu kaaj korte iccha korche na. phone ta tul na. plz. plz.,0,83
of course ! don't tease me ... you know i simply must see ! *grins* ... do keep me posted my prey ... *loving smile* *devouring kiss*,0,133
there are many company. tell me the language.,0,45
u have a secret admirer who is looking 2 make contact with u-find out who they r*reveal who thinks ur so special-call on 09058094565,1,132
2 and half years i missed your friendship:-),0,44
this is the 2nd time we have tried to contact u. u have won the £1450 prize to claim just call 09053750005 b4 310303. t&cs/stop sms 08718725756. 140ppm,1,151
"sorry my roommates took forever, it ok if i come by now?",0,56
hey mate! hows u honey?did u ave good holiday? gimmi de goss!x,0,62
natalie (20/f) is inviting you to be her friend. reply yes-165 or no-165 see her: www.sms.ac/u/natalie2k9 stop? send stop frnd to 62468,1,135
yeah whatever lol,0,17
"just got part nottingham - 3 hrs 63miles. good thing i love my man so much, but only doing 40mph. hey ho",0,104
pls speak to that customer machan.,0,34
do you want 750 anytime any network mins 150 text and a new video phone for only five pounds per week call 08000776320 now or reply for delivery tomorrow,1,153
thanks for ve lovely wisheds. you rock,0,38
hi kindly give us back our documents which we submitted for loan from stapati,0,77
hows the pain dear?y r u smiling?,0,33
"actually fuck that, just do whatever, do find an excuse to be in tampa at some point before january though",0,106
"that would be good … i'll phone you tomo lunchtime, shall i, to organise something?",0,83
"merry christmas to you too babe, i love ya *kisses*",0,51
&lt;#&gt; w jetton ave if you forgot,0,36
i dont have any of your file in my bag..i was in work when you called me.i 'll tell you if i find anything in my room.,0,118
"""shit babe.. thasa bit messed up.yeh, she shudvetold u. did urgran know?neway, illspeak 2 u2moro wen im not asleep...""",0,118
"text82228>> get more ringtones, logos and games from www.txt82228.com. questions: info@txt82228.co.uk",1,101
hi did u decide wot 2 get 4 his bday if not ill prob jus get him a voucher frm virgin or sumfing,0,96
ok... i din get ur msg...,0,25
how do friends help us in problems? they give the most stupid suggestion that lands us into another problem and helps us forgt the previous problem,0,147
tell her i said eat shit.,0,25
"hello, as per request from &lt;#&gt; rs.5 has been transfered to you",0,68
i guess it is useless calling u 4 something important.,0,54
yes! how is a pretty lady like you single?,0,42
"bored of speed dating? try speedchat, txt speedchat to 80155, if you don't like em txt swap and get a new chatter! chat80155 pobox36504w45wq 150p/msg rcd 16",1,156
"hot live fantasies call now 08707500020 just 20p per min ntt ltd, po box 1327 croydon cr9 5wb 0870 is a national rate call",1,122
"whenevr ur sad, whenevr ur gray, remembr im here 2 listn 2 watevr u wanna say, jus walk wid me a little while,&amp; i promise i'll bring back ur smile.:-)",0,154
dunno y u ask me.,0,17
so do you have samus shoulders yet,0,34
do u ever get a song stuck in your head for no reason and it won't go away til u listen to it like 5 times?,0,107
free any day but i finish at 6 on mon n thurs...,0,48
"""getting tickets 4 walsall tue 6 th march. my mate is getting me them on sat. ill pay my treat. want 2 go. txt bak .terry""",0,122
i borrow ur bag ok.,0,19
if we win its really no 1 side for long time.,0,45
call germany for only 1 pence per minute! call from a fixed line via access number 0844 861 85 85. no prepayment. direct access! www.telediscount.co.uk,1,151
private! your 2003 account statement for shows 800 un-redeemed s.i.m. points. call 08718738001 identifier code: 49557 expires 26/11/04,1,134
think i could stop by in like an hour or so? my roommate's looking to stock up for a trip,0,89
so are you guys asking that i get that slippers again or its gone with last year,0,80
"send ur birthdate with month and year, i will tel u ur life partner's name. and the method of calculation. reply must.",0,118
sorry da..today i wont come to play..i have driving clas..,0,58
and stop being an old man. you get to build snowman snow angels and snowball fights.,0,84
"nah it's straight, if you can just bring bud or drinks or something that's actually a little more useful than straight cash",0,123
thanks for this hope you had a good day today,0,45
"""boo babe! u enjoyin yourjob? u seemed 2 b gettin on well hunny!hope ure ok?take care & illspeak 2u soonlots of loveme xxxx.""",0,126
rofl betta invest in some anti aging products,0,45
gr8. so how do you handle the victoria island traffic. plus when's the album due,0,80
did you catch the bus ? are you frying an egg ? did you make a tea? are you eating your mom's left over dinner ? do you feel my love ?,0,134
yup no more already... thanx 4 printing n handing it up.,0,56
gsoh? good with spam the ladies?u could b a male gigolo? 2 join the uk's fastest growing mens club reply oncall. mjzgroup. 08714342399.2stop reply stop. msg@£1.50rcvd,1,166
back in brum! thanks for putting us up and keeping us all and happy. see you soon,0,81
apo all other are mokka players only,0,36
if india win or level series means this is record:),0,51
"probably, want to pick up more?",0,31
ü still attending da talks?,0,27
havent stuck at orchard in my dad's car. going 4 dinner now. u leh? so r they free tonight?,0,91
weightloss! no more girl friends. make loads of money on ebay or something. and give thanks to god.,0,99
what's a feathery bowa? is that something guys have that i don't know about?,0,76
"so many people seems to be special at first sight, but only very few will remain special to you till your last sight.. maintain them till life ends.. take cr da",0,160
do you work all this week ?,0,27
i reach home safe n sound liao...,0,33
so i could kiss and feel you next to me...,0,42
yes princess! i want to make you happy...,0,41
yavnt tried yet and never played original either,0,48
i said its okay. sorry,0,22
do you want a new video handset? 750 any time any network mins? unlimited text? camcorder? reply or call now 08000930705 for del sat am,1,135
r ü comin back for dinner?,0,26
g.w.r,0,5
it just seems like weird timing that the night that all you and g want is for me to come smoke is the same day as when a shitstorm is attributed to me always coming over and making everyone smoke,0,195
thought we could go out for dinner. i'll treat you! seem ok?,0,60
ugh. gotta drive back to sd from la. my butt is sore.,0,53
"alright, i'll make sure the car is back tonight",0,47
shant disturb u anymore... jia you...,0,37
captain vijaykanth is doing comedy in captain tv..he is drunken :),0,66
feel yourself that you are always happy.. slowly it becomes your habit &amp; finally it becomes part of your life.. follow it.. happy morning &amp; have a happy day:),0,166
k..k:)how much does it cost?,0,28
"yes but i dont care! i need you bad, princess!",0,46
what???? hello wats talks email address?,0,40
sweet heart how are you?,0,24
love that holiday monday feeling even if i have to go to the dentists in an hour,0,80
"urgent! please call 09066612661 from your landline, your complimentary 4* lux costa del sol holiday or £1000 cash await collection. ppm 150 sae t&cs james 28, eh74rr",1,165
"could you not read me, my love ? i answered you",0,47
"""the world suffers a lot... not because of the violence of bad people. but because of the silence of good people!"", gud night....",0,129
no. on the way home. so if not for the long dry spell the season would have been over,0,85
anytime lor...,0,14
"i can probably come by, everybody's done around &lt;#&gt; right?",0,64
you all ready for * big day tomorrow?,0,37
hi darlin how was work did u get into trouble? ijust talked to your mum all morning! i had a really good time last night im goin out soon but call me if u can,0,158
"oh yes, why is it like torture watching england?",0,48
oh yeah! and my diet just flew out the window,0,45
urgent! your mobile number has been awarded with a £2000 prize guaranteed. call 09058094455 from land line. claim 3030. valid 12hrs only,1,136
i will vote for wherever my heart guides me,0,43
double your mins & txts on orange or 1/2 price linerental - motorola and sonyericsson with b/tooth free-nokia free call mobileupd8 on 08000839402 or2optout/hv9d,1,160
talk to g and x about that,0,26
and whenever you and i see we can still hook up too.,0,52
"damn, can you make it tonight or do you want to just wait til tomorrow",0,70
"no my blankets are sufficient, thx",0,34
u still painting ur wall?,0,25
i am literally in bed and have been up for like &lt;#&gt; hours,0,63
"call 09094100151 to use ur mins! calls cast 10p/min (mob vary). service provided by aom, just gbp5/month. aom box61,m60 1er until u stop. ages 18+ only!",1,152
so i'm doing a list of buyers.,0,30
natalja (25/f) is inviting you to be her friend. reply yes-440 or no-440 see her: www.sms.ac/u/nat27081980 stop? send stop frnd to 62468,1,136
and several to you sir.,0,23
okie,0,4
ok then i'll let him noe later n ask him call u tmr...,0,54
no drama pls.i have had enough from you and family while i am struggling in the hot sun in a strange place.no reason why there should be an ego of not going 'if not invited' when actually its necessity to go.wait for very serious reppurcussions.,0,245
theyre doing it to lots of places. only hospitals and medical places are safe.,0,78
can help u swoop by picking u up from wherever ur other birds r meeting if u want.,0,82
wylie update: my weed dealer carlos went to freedom and had a class with lunsford,0,81
wow v v impressed. have funs shopping!,0,38
its a valentine game. . . send dis msg to all ur friends. .. if 5 answers r d same then someone really loves u. ques- which colour suits me the best?rply me,0,156
long after i quit. i get on only like 5 minutes a day as it is.,0,63
oh you got many responsibilities.,0,33
"hi frnd, which is best way to avoid missunderstding wit our beloved one's?",0,74
went fast asleep dear.take care.,0,32
dear reached railway. what happen to you,0,40
"final chance! claim ur £150 worth of discount vouchers today! text yes to 85023 now! savamob, member offers mobile! t cs savamob pobox84, m263uz. £3.00 subs 16",1,159
not a drop in the tank,0,22
i'm now but have to wait till 2 for the bus to pick me.,0,55
"alright omw, gotta change my order to a half8th",0,47
i dunno they close oredi not... ü v ma fan...,0,45
private! your 2003 account statement for 07808247860 shows 800 un-redeemed s. i. m. points. call 08719899229 identifier code: 40411 expires 06/11/04,1,148
but you dint in touch with me.,0,30
good evening! this is roger. how are you?,0,41
no gifts!! you trying to get me to throw myself off a cliff or something?,0,73
"dude u knw also telugu..thts gud..k, gud nyt..",0,46
boo i'm on my way to my moms. she's making tortilla soup. yummmm,0,64
am watching house – very entertaining – am getting the whole hugh laurie thing – even with the stick – indeed especially with the stick.,0,136
hmm. shall i bring a bottle of wine to keep us amused? just joking! i'll still bring a bottle. red or white? see you tomorrow,0,125
boo. how's things? i'm back at home and a little bored already :-(,0,66
"babe, have you got enough money to pick up bread and milk ? and i'll give you it back when you get home ?",0,105
there is no sense in my foot and penis.,0,39
"hello, hello, hi lou sorry it took so long 2 reply- i left mobile at friends in lancaster, just got it bak neway im sorry i couldnt make ur bday 2 hun!",0,153
the whole car appreciated the last two! dad and are having a map reading semi argument but apart from that things are going ok. p.,0,130
call freephone 0800 542 0578 now!,1,33
his frens go then he in lor. not alone wif my mum n sis lor.,0,60
i'll probably be around mu a lot,0,32
mmmm.... i cant wait to lick it!,0,32
no message..no responce..what happend?,0,38
no problem. we will be spending a lot of quality time together...,0,65
update_now - 12mths half price orange line rental: 400mins...call mobileupd8 on 08000839402 or call2optout=j5q,1,110
important information 4 orange user . today is your lucky day!2find out why log onto http://www.urawinner.com there's a fantastic surprise awaiting you!,1,152
quite lor. but dun tell him wait he get complacent...,0,53
"can you please ask macho what his price range is, does he want something new or used plus it he only interfued in the blackberry bold &lt;#&gt; or any bb",0,153
sary just need tim in the bollox &it hurt him a lot so he tol me!,0,65
"""me 2 babe i feel the same lets just 4get about it+both try +cheer up+not fit soo muchxxlove u locaxx""",0,102
i think its far more than that but find out. check google maps for a place from your dorm.,0,90
double mins & double txt & 1/2 price linerental on latest orange bluetooth mobiles. call mobileupd8 for the very latest offers. 08000839402 or call2optout/lf56,1,159
"ya, i'm referin to mei's ex wat... no ah, waitin 4 u to treat, somebody shld b rich liao...so gd, den u dun have to work frm tmr onwards...",0,139
i miss you so much i'm so desparate i have recorded the message you left for me the other day and listen to it just to hear the sound of your voice. i love you,0,159
"awesome, lemme know whenever you're around",0,42
are you unique enough? find out from 30th august. www.areyouunique.co.uk,1,72
dont know supports ass and srt i thnk. i think ps3 can play through usb too,0,75
have you ever had one foot before?,0,34
it only does simple arithmetic not percentages.,0,47
i pocked you up there before,0,28
oops i thk i dun haf enuff... i go check then tell ü..,0,54
nationwide auto centre (or something like that) on newport road. i liked them there,0,83
"frnd s not juz a word.....not merely a relationship.....its a silent promise which says ... "" i will be with you "" wherevr.. whenevr.. forevr... gudnyt dear..",0,158
&lt;#&gt; am i think? should say on syllabus,0,44
"u can win £100 of music gift vouchers every week starting now txt the word draw to 87066 tscs www.ldew.com skillgame,1winaweek, age16.150ppermesssubscription",1,157
prakesh is there know.,0,22
i didnt get anything da,0,23
i'll talk to the others and probably just come early tomorrow then,0,66
send a logo 2 ur lover - 2 names joined by a heart. txt love name1 name2 mobno eg love adam eve 07123456789 to 87077 yahoo! pobox36504w45wq txtno 4 no ads 150p.,1,160
"huh... hyde park not in mel ah, opps, got confused... anyway, if tt's e best choice den we juz have to take it...",0,113
1apple/day=no doctor. 1tulsi leaf/day=no cancer. 1lemon/day=no fat. 1cup milk/day=no bone problms 3 litres watr/day=no diseases snd ths 2 whom u care..:-),0,154
... are you in the pub?,0,23
in other news after hassling me to get him weed for a week andres has no money. haughaighgtujhyguj,0,98
tell me again what your address is,0,34
"urgh, coach hot, smells of chip fat! thanks again, especially for the duvet (not a predictive text word).",0,105
eek that's a lot of time especially since american pie is like 8 minutes long. i can't stop singing it.,0,103
v skint too but fancied few bevies.waz gona go meet &othrs in spoon but jst bin watchng planet earth&sofa is v comfey; if i dont make it hav gd night,0,149
"k, i'll work something out",0,26
"goodnight, sleep well da please take care pa. please.",0,53
come to my home for one last time i wont do anything. trust me.,0,63
"hey, iouri gave me your number, i'm wylie, ryan's friend",0,56
loans for any purpose even if you have bad credit! tenants welcome. call noworriesloans.com on 08717111821,1,106
wow so healthy. old airport rd lor. cant thk of anything else. but i'll b bathing my dog later.,0,95
"congrats! 2 mobile 3g videophones r yours. call 09061744553 now! videochat wid ur mates, play java games, dload polyh music, noline rentl. bx420. ip4. 5we. 150pm",1,161
"waqt se pehle or naseeb se zyada kisi ko kuch nahi milta,zindgi wo nahi he jo hum sochte hai zindgi wo hai jo ham jeetey hai..........",0,134
if you mean the website. yes.,0,29
we not leaving yet. ok lor then we go elsewhere n eat. u thk...,0,63
lmao!nice 1,0,11
at 4. let's go to bill millers,0,30
yes..he is really great..bhaji told kallis best cricketer after sachin in world:).very tough to get out.,0,104
"i've got ten bucks, jay is being noncomittal",0,44
hey you still want to go for yogasana? coz if we end at cine then can go bathe and hav the steam bath,0,101
sorry i'm not free...,0,21
the search 4 happiness is 1 of d main sources of unhappiness! accept life the way it comes! u will find happiness in every moment u live.,0,137
good morning my dear shijutta........... have a great &amp; successful day.,0,75
i love ya too but try and budget your money better babe. gary would freak on me if he knew,0,90
"yeah, that's what i was thinking",0,32
then ur sis how?,0,16
"urgent! you have won a 1 week free membership in our £100,000 prize jackpot! txt the word: claim to no: 81010 t&c www.dbuk.net lccltd pobox 4403ldnw1a7rw18",1,155
"free-message: jamster!get the crazy frog sound now! for poly text mad1, for real text mad2 to 88888. 6 crazy sounds for just 3 gbp/week! 16+only! t&c's apply",1,157
no da if you run that it activate the full version da.,0,54
can not use foreign stamps in this country. good lecture .,0,58
tell me something. thats okay.,0,30
also that chat was awesome but don't make it regular unless you can see her in person,0,85
you are right. meanwhile how's project twins comin up,0,53
howz pain.it will come down today.do as i said ystrday.ice and medicine.,0,72
do you know when the result.,0,28
yes:)from last week itself i'm taking live call.,0,48
network operator. the service is free. for t & c's visit 80488.biz,1,66
"you have been specially selected to receive a ""3000 award! call 08712402050 before the lines close. cost 10ppm. 16+. t&cs apply. ag promo",1,137
that's one of the issues but california is okay. no snow so its manageable,0,74
"haha, my friend tyler literally just asked if you could get him a dubsack",0,73
no dear i do have free messages without any recharge. hi hi hi,0,62
u really pig leh sleep so much. my dad wake me up at 10 smth 2 eat lunch today.,0,79
do you like italian food?,0,25
hi i won't b ard 4 christmas. but do enjoy n merry x'mas.,0,57
"the fact that you're cleaning shows you know why i'm upset. your priority is constantly ""what i want to do,"" not ""what i need to do.""",0,133
congratulations ur awarded either £500 of cd gift vouchers & free entry 2 our £100 weekly draw txt music to 87066 tncs www.ldew.com 1 win150ppmx3age16,1,150
bring home some wendy =d,0,24
freemsg: our records indicate you may be entitled to 3750 pounds for the accident you had. to claim for free reply with yes to this msg. to opt out text stop,1,157
how tall are you princess?,0,26
how stupid to say that i challenge god.you dont think at all on what i write instead you respond immed.,0,103
"tddnewsletter@emc1.co.uk (more games from thedailydraw) dear helen, dozens of free games - with great prizeswith..",1,114
no. i meant the calculation is the same. that &lt;#&gt; units at &lt;#&gt; . this school is really expensive. have you started practicing your accent. because its important. and have you decided if you are doing 4years of dental school or if you'll just do the nmde exam.,0,271
hi babe im at home now wanna do something? xx,0,45
can you let me know details of fri when u find out cos i'm not in tom or fri. mentionned chinese. thanks,0,104
"i'm not sure, i was just checking out what was happening around the area",0,72
lol ok ill try to send. be warned sprint is dead slow. you'll prolly get it tomorrow,0,84
he remains a bro amongst bros,0,29
"party's at my place at usf, no charge (but if you can contribute in any way it is greatly appreciated) and yeah, we got room for one more",0,137
please sen :)my kind advice :-)please come here and try:-),0,58
ok... sweet dreams...,0,21
still chance there. if you search hard you will get it..let have a try :),0,73
"""im on gloucesterroad what are uup to later?""",0,45
haha okay... today weekend leh...,0,33
ok lor thanx... ü in school?,0,28
"congratulations! thanks to a good friend u have won the £2,000 xmas prize. 2 claim is easy, just call 08718726978 now! only 10p per minute. bt-national-rate",1,156
it didnt work again oh. ok goodnight then. i.ll fix and have it ready by the time you wake up. you are very dearly missed have a good night sleep.,0,146
same as u... dun wan... y u dun like me already ah... wat u doing now? still eating?,0,84
sunshine quiz wkly q! win a top sony dvd player if u know which country the algarve is in? txt ansr to 82277. £1.50 sp:tyrone,1,125
no let me do the math. your not good at it.,0,43
carlos'll be here in a minute if you still need to buy,0,54
it's ok i wun b angry. msg u aft i come home tonight.,0,53
nope. i just forgot. will show next week,0,40
he's in lag. that's just the sad part but we keep in touch thanks to skype,0,74
s.this will increase the chance of winning.,0,43
no but the bluray player can,0,28
yeah so basically any time next week you can get away from your mom &amp; get up before 3,0,89
"hey, looks like i was wrong and one of the kappa guys numbers is still on my phone, if you want i can text him and see if he's around",0,133
dont think so. it turns off like randomlly within 5min of opening,0,65
i also thk too fast... xy suggest one not me. u dun wan it's ok. going 2 rain leh where got gd.,0,95
", im .. on the snowboarding trip. i was wondering if your planning to get everyone together befor we go..a meet and greet kind of affair? cheers,",0,145
just sleeping..and surfing,0,26
ok... take ur time n enjoy ur dinner...,0,39
yo dude guess who just got arrested the other day,0,49
are you planning to come chennai?,0,33
"i just lov this line: ""hurt me with the truth, i don't mind,i wil tolerat.bcs ur my someone..... but, never comfort me with a lie"" gud ni8 and sweet dreams",0,155
you tell what happen dont behave like this to me. ok no need to say,0,67
no. she's currently in scotland for that.,0,41
"he is impossible to argue with and he always treats me like his sub, like he never released me ... which he did and i will remind him of that if necessary",0,154
"u need my presnts always bcz u cant mis love. ""jeevithathile irulinae neekunna prakasamanu sneham"" prakasam ennal prabha 'that mns prabha is'love' got it. dont mis me....",0,170
merry christmas to u too annie!,0,31
"you have come into my life and brought the sun ..shiny down on me, warming my heart. putting a constant smile on my face ... making me feel loved and cared for",0,159
oh:)as usual vijay film or its different?,0,41
it took mr owl 3 licks,0,22
s da..al r above &lt;#&gt;,0,26
"jay told me already, will do",0,28
quite ok but a bit ex... u better go eat smth now else i'll feel guilty...,0,74
"sir, i am waiting for your call.",0,32
there bold 2 &lt;#&gt; . is that yours,0,38
omg if its not one thing its another. my cat has worms :/ when does this bad day end?,0,85
"today is ""song dedicated day.."" which song will u dedicate for me? send this to all ur valuable frnds but first rply me...",0,122
ok then u tell me wat time u coming later lor.,0,46
you unbelievable faglord,0,24
i want to see your pretty pussy...,0,34
see? i thought it all through,0,29
tell them no need to investigate about me anywhere.,0,51
i not at home now lei...,0,24
xclusive@clubsaisai 2morow 28/5 soiree speciale zouk with nichols from paris.free roses 2 all ladies !!! info: 07946746291/07880867867,1,134
meet you in corporation st outside gap … you can see how my mind is working!,0,76
the guy did some bitching but i acted like i'd be interested in buying something else next week and he gave it to us for free,0,125
lol for real. she told my dad i have cancer,0,43
"sorry vikky, i'm watching olave mandara movie kano in trishul theatre wit my frnds..",0,84
really... i tot ur paper ended long ago... but wat u copied jus now got use? u happy lar... i still haf 2 study :-(,0,115
should i have picked up a receipt or something earlier,0,54
no. it's not pride. i'm almost &lt;#&gt; years old and shouldn't be takin money from my kid. you're not supposed to have to deal with this stuff. this is grownup stuff--why i don't tell you.,0,190
guess what! somebody you know secretly fancies you! wanna find out who it is? give us a call on 09065394514 from landline datebox1282essexcm61xn 150p/min 18,1,156
"our mobile number has won £5000, to claim calls us back or ring the claims hot line on 09050005321.",1,99
we are pleased to inform that your application for airtel broadband is processed successfully. your installation will happen within 3 days.,0,139
"dear sir,salam alaikkum.pride and pleasure meeting you today at the tea shop.we are pleased to send you our contact number at qatar.rakhesh an indian.pls save our number.respectful regards.",0,189
u reach orchard already? u wan 2 go buy tickets first?,0,54
"well, i'm gonna finish my bath now. have a good...fine night.",0,61
"not yet chikku..going to room nw, i'm in bus..",0,46
what time you think you'll have it? need to know when i should be near campus,0,77
hey you around? i've got enough for a half + the ten i owe you,0,62
todays vodafone numbers ending with 4882 are selected to a receive a £350 award. if your number matches call 09064019014 to receive your £350 award.,1,148
or just do that 6times,0,22
romcapspam everyone around should be responding well to your presence since you are so warm and outgoing. you are bringing in a real breath of sunshine.,1,152
"alright, i'll head out in a few minutes, text me where to meet you",0,66
thank you. do you generally date the brothas?,0,45
beautiful truth : expression of the face could be seen by everyone... but the depression of heart could be understood only by the loved ones.. gud ni8;-),0,153
i to am looking forward to all the sex cuddling.. only two more sleeps,0,70
"sir, waiting for your letter.",0,29
hey ! don't forget ... you are mine ... for me ... my possession ... my property ... mmm ... *childish smile* ...,0,113
ill be at yours in about 3 mins but look out for me,0,51
kit strip - you have been billed 150p. netcollex ltd. po box 1013 ig11 oja,1,74
okey dokey swashbuckling stuff what oh.,0,39
you are not bothering me but you have to trust my answers. pls.,0,63
is your hamster dead? hey so tmr i meet you at 1pm orchard mrt?,0,63
hi dis is yijue i would be happy to work wif ü all for gek1510...,0,65
do not b late love mum,0,22
que pases un buen tiempo or something like that,0,47
wot about on wed nite i am 3 then but only til 9!,0,49
i cant wait to see you! how were the photos were useful? :),0,59
aiya we discuss later lar... pick ü up at 4 is it?,0,50
not tonight mate. catching up on some sleep. this is my new number by the way.,0,78
i can take you at like noon,0,27
i've told him that i've returned it. that should i re order it.,0,63
usually the person is unconscious that's in children but in adults they may just behave abnormally. i.ll call you now,0,117
check mail.i have mailed varma and kept copy to you regarding membership.take care.insha allah.,0,95
yun buying... but school got offer 2000 plus only...,0,52
yeah if we do have to get a random dude we need to change our info sheets to party &lt;#&gt; /7 never study just to be safe,0,123
oh unintentionally not bad timing. great. fingers the trains play along! will give fifteen min warning.,0,103
did you get any gift? this year i didnt get anything. so bad,0,60
"v-aluable. a-ffectionate. l-oveable. e-ternal. n-oble. t-ruthful. i-ntimate. n-atural. e-namous. happy ""valentines day"" in advance",0,130
was playng 9 doors game and gt racing on phone lol,0,50
great. so should i send you my account number.,0,46
"yetunde, i'm sorry but moji and i seem too busy to be able to go shopping. can you just please find some other way to get what you wanted us to get. please forgive me. you can reply free via yahoo messenger.",0,207
jokin only lar... :-) depends on which phone my father can get lor...,0,69
can not use foreign stamps in this country.,0,43
"when you just put in the + sign, choose my number and the pin will show. right?",0,79
aah bless! how's your arm?,0,26
sorry me going home first... daddy come fetch ü later...,0,56
i will lick up every drop :) are you ready to use your mouth as well?,0,69
gain the rights of a wife.dont demand it.i am trying as husband too.lets see,0,76
25p 4 alfie moon's children in need song on ur mob. tell ur m8s. txt tone charity to 8007 for nokias or poly charity for polys: zed 08701417012 profit 2 charity.,1,161
cause i'm not freaky lol,0,24
you have won a nokia 7250i. this is what you get when you win our free auction. to take part send nokia to 86021 now. hg/suite342/2lands row/w1jhl 16+,1,150
eh ur laptop got no stock lei... he say mon muz come again to take a look c got a not...,0,88
arr birthday today:) i wish him to get more oscar.,0,50
urgent! we are trying to contact u. todays draw shows that you have won a £800 prize guaranteed. call 09050001808 from land line. claim m95. valid12hrs only,1,156
no current and food here. i am alone also,0,41
"we spend our days waiting for the ideal path to appear in front of us.. but what we forget is.. ""paths are made by walking.. not by waiting.."" goodnight!",0,153
also tell him i said happy birthday,0,35
i am sorry it hurt you.,0,23
i'm in town now so i'll jus take mrt down later.,0,48
"okies... i'll go yan jiu too... we can skip ard oso, go cine den go mrt one, blah blah blah...",0,94
knock knock txt whose there to 80082 to enter r weekly draw 4 a £250 gift voucher 4 a store of yr choice. t&cs www.tkls.com age16 to stoptxtstop£1.50/week,1,154
"what will we do in the shower, baby?",0,36
"aight, i'll text you when i'm back",0,34
i thought slide is enough.,0,26
did u get that message,0,22
pls go ahead with watts. i just wanted to be sure. do have a great weekend. abiola,0,82
i don't quite know what to do. i still can't get hold of anyone. i cud pick you up bout 7.30pm and we can see if they're in the pub?,0,132
its normally hot mail. com you see!,0,35
todays voda numbers ending with 7634 are selected to receive a £350 reward. if you have a match please call 08712300220 quoting claim code 7684 standard rates apply.,1,165
who's there say hi to our drugdealer,0,36
s.i think he is waste for rr..,0,30
just seeing your missed call my dear brother. do have a gr8 day.,0,64
warner village 83118 c colin farrell in swat this wkend @warner village & get 1 free med. popcorn!just show msg+ticket@kiosk.valid 4-7/12. c t&c @kiosk. reply sony 4 mre film offers,1,181
ü neva tell me how i noe... i'm not at home in da aft wat...,0,60
have * good weekend.,0,20
send me your id and password,0,28
you have 1 new message. please call 08715205273,1,47
"hi hope u r both ok, he said he would text and he hasn't, have u seen him, let me down gently please",0,100
alex says he's not ok with you not being ok with it,0,51
"449050000301 you have won a £2,000 price! to claim, call 09050000301.",1,69
"the world is running and i am still.maybe all are feeling the same,so be it.or i have to admit,i am mad.then where is the correction?or let me call this is life.and keep running with the world,may be u r also running.lets run.",0,226
"sorry da thangam, very very sorry i am held up with prasad.",0,59
ringtone club: get the uk singles chart on your mobile each week and choose any top quality ringtone! this message is free of charge.,1,133
nice talking to you! please dont forget my pix :) i want to see all of you...,0,77
"it's ok, at least armand's still around",0,39
cheers for the card ... is it that time of year already?,0,56
am okay. will soon be over. all the best,0,40
just come home. i don't want u to be miserable,0,46
"sorry, i can't help you on this.",0,32
ü called dad oredi...,0,21
"alright we'll bring it to you, see you in like &lt;#&gt; mins",0,61
you call him and tell now infront of them. call him now.,0,56
jos ask if u wana meet up?,0,26
what * u wearing?,0,17
should i head straight there or what,0,36
"gr8 poly tones 4 all mobs direct 2u rply with poly title to 8007 eg poly breathe1 titles: crazyin, sleepingwith, finest, ymca :getzed.co.uk pobox365o4w45wq 300p",1,160
burger king - wanna play footy at a top stadium? get 2 burger king before 1st sept and go large or super with coca-cola and walk out a winner,1,141
try to do something dear. you read something for exams,0,54
not sure i have the stomach for it ...,0,38
ok then no need to tell me anything i am going to sleep good night,0,66
surly ill give it to you:-) while coming to review.,0,51
lol now i'm after that hot air balloon!,0,39
"ok, be careful ! don't text and drive !",0,39
dare i ask... any luck with sorting out the car?,0,48
so u gonna get deus ex?,0,23
i went to ur hon lab but no one is there.,0,41
… and don‘t worry we‘ll have finished by march … ish!,0,53
serious? what like proper tongued her,0,37
raji..pls do me a favour. pls convey my birthday wishes to nimya. pls. today is her birthday.,0,93
please attend the phone:),0,25
ummma.will call after check in.our life will begin from qatar so pls pray very hard.,0,84
freemsg: txt: call to no: 86888 & claim your reward of 3 hours talk time to use from your phone now! subscribe6gbp/mnth inc 3hrs 16 stop?txtstop,1,144
